Timestamp,Your Gender Name,Your Age (in Years),Your Permanent Resident Area,Monthly Cost for Buying Internet (with Mobile Data),Monthly Cost for only Phone/Mobile Call,"How much time do you spend daily on social media (e.g., Facebook)?",Do you find it difficult to manage your expenses for your study?,Household Monthly Income,Are you attending online classes regularly?,Have you experienced any physical problems due to online classes?,"If you face any physical problem, then what's kind of problems have you encountered? ",What device do you use for the online class?,How much time do you spend each day on an average in the online classes?,How effective has remote learning been for you?,How helpful your university has been in offering you the resources to learn from home?,How well could you manage time while learning remotely? (Consider 5 being extremely well and 1 being not at all),How helpful are your teachers while studying online?,How helpful was the class material provided to you?,I want to receive the class video recording,Do you enjoy learning remotely?,Online course interaction [I prefer my online courses to be very structured with set due dates similar to face-to-face courses.],Online course interaction [My online courses are set up so that I can interact with my classmates.],Online course interaction [Interaction between the teacher and students is essential to online learning.],Online course interaction [The quality of discussions in my online courses is high.],Online course interaction [The lecture material in my online courses is valuable to course discussions.],Online course content and satisfaction [The materials in my online courses support the course goals.],Online course content and satisfaction [The class video recording is not so important for me.],Online course content and satisfaction [On-campus class (face-to-face class) and online class are the same for me.],Online course content and satisfaction [I think I learn more in online classes than in on-campus classes (face-to-face classes).],Online course content and satisfaction [I prefer online courses to on-campus classes (face-to-face classes).],Assignment and Homework for Online Class [I want to receive homework for my online course.],Assignment and Homework for Online Class [I want to receive the assignment for my online course.],Assignment and Homework for Online Class [I want  to participate in the online exam.],Assignment and Homework for Online Class [I want to participate in the quiz in the online class.]
10/22/2020 14:13:05,Male,24,Rural,500,200,8 hours,Yes,40000,Yes,Yes,"Headache, Hearing impairment",Laptop,3-5 hours,Slightly effective,Not at all helpful,1,Moderately helpful,Not so helpful,After each class,"Yes, absolutely",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
10/22/2020 14:14:47,Female,20,Urban,1000,200,7 hours,No,50000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,3-5 hours,Slightly effective,Moderately helpful,2,Very helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree
10/22/2020 14:20:53,Male,21,Semi-urban,1000,500,8 hours,Yes,22000,Yes,Yes,Headache,Smartphone,1-3 hours,Slightly effective,Slightly helpful,3,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree
10/22/2020 14:21:04,Female,20,Urban,500,100,4 hour,No,20000,Yes,Yes,Headache,Laptop,3-5 hours,Slightly effective,Slightly helpful,3,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree
10/22/2020 14:23:48,Female,21,Urban,500,100,3 hours,No,50000,Yes,Yes,"Headache, See dimly",Smartphone,3-5 hours,Slightly effective,Moderately helpful,2,Moderately helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree
10/22/2020 14:25:44,Female,19,Urban,1500,20,6,Yes,50000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,5-7 hours,Not at all effective,Not at all helpful,1,Moderately helpful,Somewhat helpful,After each class,"No, not at all",Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
10/22/2020 14:26:09,Female,22,Urban,500,100,2 hours,No,50000,Yes,Yes,"Headache, I have severe migraine problem & recently its causing harm to my eyes too.",Smartphone,1-3 hours,Slightly effective,Slightly helpful,2,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:26:13,Female,22,Urban,500,100,2 hours,No,50000,Yes,Yes,"Headache, I have severe migraine problem & recently its causing harm to my eyes too.",Smartphone,1-3 hours,Slightly effective,Slightly helpful,2,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:28:25,Female,20,Rural,500,20,4 hour,Yes,0,Yes,Yes,"Headache, See dimly",Smartphone,3-5 hours,Not at all effective,Slightly helpful,2,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree
10/22/2020 14:28:32,Male,25,Rural,600,200,1 hour,Yes,20000,No,No,,Smartphone,3-5 hours,Slightly effective,Moderately helpful,3,Moderately helpful,Somewhat helpful,No need video recording,"No, there are quite a few challenges",Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
10/22/2020 14:33:12,Female,22,Rural,1200,200,3hrs,No,50000,Yes,Yes,"Headache, See dimly",Smartphone,3-5 hours,Slightly effective,Slightly helpful,2,Slightly helpful,Very helpful,After each class,"No, there are quite a few challenges",Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
10/22/2020 14:33:52,Female,20,Urban,1200,50,3-4 hours,No,90000,Yes,Yes,Headache,Laptop,3-5 hours,Slightly effective,Very helpful,3,Moderately helpful,Very helpful,After each class,"Yes, but I would like to change a few things",Strongly disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:33:57,Female,21,Urban,500,100,1HOUR,No,30000,Yes,Yes,Headache,Laptop,1-3 hours,Not at all effective,Very helpful,2,Very helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Agree
10/22/2020 14:34:00,Male,22,Urban,1300,100,2h,No,90000,Yes,Yes,"Headache, Hearing impairment",Laptop,1-3 hours,Moderately effective,Moderately helpful,4,Very helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
10/22/2020 14:34:41,Male,22,Semi-urban,500,200,3,No,50000,Yes,No,,Smartphone,3-5 hours,Slightly effective,Moderately helpful,3,Moderately helpful,Somewhat helpful,After completing all classes,"Yes, but I would like to change a few things",Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree
10/22/2020 14:34:54,Male,20,Urban,2000,200,45 min,Yes,50000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,1-3 hours,Moderately effective,Moderately helpful,2,Moderately helpful,Somewhat helpful,After each class,"Yes, but I would like to change a few things",Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:35:34,Female,21,Rural,500,50,5 hours,Yes,30000,Yes,Yes,"Headache, See dimly, Eyes problem ",Smartphone,1-3 hours,Not at all effective,Slightly helpful,2,Moderately helpful,Very helpful,After each class,"No, there are quite a few challenges",Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Agree
10/22/2020 14:35:36,Female,22,Urban,500,100,2,Yes,30000,Yes,Yes,"Headache, Hearing impairment",Desktop,1-3 hours,Slightly effective,Not at all helpful,1,Very helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree
10/22/2020 14:35:56,Female,22,Urban,500,200,4 hours,No,90000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,3-5 hours,Slightly effective,Slightly helpful,3,Moderately helpful,Very helpful,After each class,"Yes, but I would like to change a few things",Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
10/22/2020 14:36:06,Female,22,Urban,700,500,3h,No,1000000,Yes,Yes,Headache,Smartphone,3-5 hours,Slightly effective,Very helpful,3,Moderately helpful,Somewhat helpful,After each class,"Yes, but I would like to change a few things",Strongly disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree
10/22/2020 14:36:47,Male,20,Semi-urban,1200,50,2,No,30000,Yes,Yes,See dimly,Laptop,3-5 hours,Slightly effective,Slightly helpful,3,Moderately helpful,Somewhat helpful,After completing all classes,"Yes, but I would like to change a few things",Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:37:03,Female,22,Rural,600,100,1.5,No,60000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,3-5 hours,Not at all effective,Not at all helpful,2,Moderately helpful,Somewhat helpful,After each class,"No, not at all",Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree
10/22/2020 14:37:05,Female,21,Rural,500,200,2,Yes,50000,Yes,Yes,"Headache, See dimly, Hearing impairment, Mentally disturbed   ",Smartphone,3-5 hours,Not at all effective,Moderately helpful,2,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Neither agree nor disagree
10/22/2020 14:37:07,Female,22,Urban,500,200,6 hours,Yes,25000,Yes,Yes,"Headache, See dimly",Smartphone,3-5 hours,Moderately effective,Moderately helpful,3,Moderately helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree
10/22/2020 14:37:25,Female,21,Urban,0,50,1,No,40000,Yes,Yes,"Headache, Hearing impairment",Laptop,1-3 hours,Slightly effective,Moderately helpful,3,Very helpful,Very helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:40:41,Female,22,Rural,500,600,1.5,Yes,28000,Yes,Yes,See dimly,Smartphone,3-5 hours,Not at all effective,Moderately helpful,2,Moderately helpful,Somewhat helpful,After each class,"No, not at all",Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:41:36,Female,21,Urban,1200,200,2 hours,No,60000,Yes,Yes,"Headache, See dimly",Smartphone,1-3 hours,Slightly effective,Slightly helpful,3,Moderately helpful,Very helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree
10/22/2020 14:43:14,Female,20,Urban,800,200,2-3hrs,Yes,50000,Yes,Yes,"Headache, See dimly, Back pain, neck pain",Smartphone,3-5 hours,Not at all effective,Moderately helpful,2,Moderately helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree
10/22/2020 14:44:15,Female,20,Rural,800,1000,2h,No,30000,Yes,,"Headache, See dimly, back pain ",Smartphone,3-5 hours,Slightly effective,Slightly helpful,1,Moderately helpful,Somewhat helpful,After completing all classes,"No, there are quite a few challenges",Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Disagree
10/22/2020 14:45:09,Female,19,Urban,100,60,1 to 2 hour's ,No,200000,Yes,No,,Smartphone,3-5 hours,Slightly effective,Moderately helpful,3,Moderately helpful,Somewhat helpful,After each class,"Yes, but I would like to change a few things",Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:45:43,Female,21,Urban,500,100,4hr,No,50000,Yes,Yes,"Headache, See dimly",Smartphone,1-3 hours,Slightly effective,Slightly helpful,3,Moderately helpful,Somewhat helpful,After each class,"Yes, but I would like to change a few things",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:47:13,Female,21,Urban,450,200,3 hour,Yes,39000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,3-5 hours,Slightly effective,Moderately helpful,2,Very helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
10/22/2020 14:49:10,Female,20,Urban,1000,200,2 hours ,No,70000,Yes,Yes,"Headache, See dimly",Smartphone,3-5 hours,Slightly effective,Moderately helpful,3,Very helpful,Somewhat helpful,After completing all classes,"Yes, but I would like to change a few things",Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
10/22/2020 14:49:31,Male,29,Urban,1500,2000,3,No,250000,Yes,Yes,Headache,Laptop,3-5 hours,Moderately effective,Not at all helpful,3,Slightly helpful,Somewhat helpful,After each class,"Yes, but I would like to change a few things",Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:49:40,Female,20,Rural,3000,200,11 hours,Yes,30000,Yes,Yes,Headache,Smartphone,5-7 hours,Not at all effective,Not at all helpful,1,Slightly helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree
10/22/2020 14:51:07,Male,21,Urban,1500,500,4hr ,No,60000,Yes,Yes,"Headache, See dimly, Hearing impairment",Laptop,1-3 hours,Not at all effective,Slightly helpful,2,Very helpful,Very helpful,After each class,"No, not at all",Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree
10/22/2020 15:01:51,Female,22,Rural,1000,100,2 hours,No,70000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,3-5 hours,Slightly effective,Moderately helpful,3,Moderately helpful,Somewhat helpful,After each class,"Yes, but I would like to change a few things",Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 15:18:38,Female,20,Urban,2000,1000,5,No,900000,Yes,Yes,"Headache, See dimly, Hearing impairment, Severe eyesight problem,increasing of existing migraine problems, backpains etc ",Smartphone,3-5 hours,Not at all effective,Not at all helpful,3,Moderately helpful,Somewhat helpful,After each class,"No, not at all",Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree
10/22/2020 15:23:27,Female,21,Semi-urban,500,300,3,No,45,Yes,Yes,"Headache, Hearing impairment",Smartphone,1-3 hours,Slightly effective,Slightly helpful,2,Not at all helpful,Somewhat helpful,After completing all classes,"No, not at all",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
10/22/2020 15:23:30,Male,22,Urban,1300,100,2,No,90000,Yes,Yes,"Headache, Hearing impairment",Laptop,1-3 hours,Moderately effective,Moderately helpful,4,Very helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
10/22/2020 15:25:20,Female,22,Urban,500,200,6 hours,Yes,25000,Yes,Yes,"Headache, See dimly",Smartphone,3-5 hours,Moderately effective,Moderately helpful,3,Moderately helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree
10/22/2020 15:37:16,Female,22,Semi-urban,2500,1000,6,Yes,40000,Yes,Yes,"Headache, See dimly",Smartphone,3-5 hours,Not at all effective,Moderately helpful,2,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree
10/22/2020 15:42:54,Female,21,Urban,0,100,4h,No,90000,Yes,Yes,Headache,Smartphone,1-3 hours,Slightly effective,Slightly helpful,3,Very helpful,Somewhat helpful,After each class,"No, not at all",Disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree
10/22/2020 15:53:06,Male,23,Urban,500,50,6,No,50000,Yes,Yes,"Headache, See dimly, Hearing impairment",Tablet,10+ hour,Moderately effective,Moderately helpful,3,Slightly helpful,Not at all helpful,After completing all classes,"No, not at all",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 15:54:47,Female,21,Urban,50,100,1/2 hour,No,0,Yes,No,,Laptop,1-3 hours,Slightly effective,Moderately helpful,5,Very helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree
10/22/2020 16:01:28,Male,20,Urban,150,50,2,No,80000,Yes,Yes,"Headache, See dimly",Laptop,1-3 hours,Moderately effective,Very helpful,3,Moderately helpful,Very helpful,After each class,"Yes, absolutely",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 16:02:34,Male,25,Rural,400,150,3 hrs,Yes,20000,Yes,Yes,,Smartphone,1-3 hours,Slightly effective,Very helpful,2,Very helpful,Very helpful,After each class,"No, there are quite a few challenges",Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree
10/22/2020 16:06:25,Female,20,Urban,1500,200,1,Yes,200000,Yes,Yes,Headache,Smartphone,3-5 hours,Moderately effective,Moderately helpful,3,Moderately helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Agree
10/22/2020 16:06:30,Female,20,Urban,1000,100,less than an hour ,Yes,50000,Yes,Yes,"Headache, See dimly",Smartphone,1-3 hours,Not at all effective,Slightly helpful,2,Slightly helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree
10/22/2020 16:08:58,Female,20,Urban,0,15,12 hours,No,150000,Yes,Yes,Backache ,Laptop,5-7 hours,Moderately effective,Very helpful,4,Very helpful,Somewhat helpful,,"Yes, but I would like to change a few things",Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree
